"Online_id","Valence","Arousal","Dominance","Wheel_slice","Wheel_strength"
25,5,1,5,7,1
25,4,5,3,9,4
25,5,1,1,14,1
25,5,5,4,4,1
25,4,4,4,0,0
26,5,3,1,4,4
26,2,2,7,15,3
26,7,8,7,3,2
26,9,8,8,7,4
26,7,5,7,4,3
26,7,7,5,7,3
26,6,7,6,3,1
26,6,2,5,7,2
26,5,6,6,7,3
26,2,1,1,7,1
26,5,3,1,7,2
26,6,6,7,8,2
26,5,3,2,8,2
26,6,6,5,8,2
26,8,8,7,0,0
27,5,1,1,3,1
27,6,4,4,2,3
27,9,8,5,3,4
27,8,7,6,6,2
27,9,7,9,3,4
27,7,1,3,3,2
27,5,3,9,4,1
27,7,6,5,3,3
27,9,3,7,2,3
27,6,5,5,5,1
27,7,3,5,4,3
27,7,5,6,3,3
27,9,7,7,3,3
27,7,5,5,3,2
27,5,6,3,0,0
28,1,1,1,14,4
28,3,6,7,11,3
28,8,6,5,3,3
28,6,8,5,3,1
28,3,1,4,11,1
28,5,6,5,2,3
28,5,3,5,7,1
28,2,3,3,0,0
28,4,7,5,9,3
28,3,2,5,9,3
28,3,4,3,0,0
28,5,1,1,9,1
28,5,6,5,8,1
28,5,3,7,0,0
28,3,7,3,9,2
29,5,1,1,8,1
29,8,6,4,6,3
29,8,2,5,6,3
29,7,3,9,2,2
29,7,3,5,9,2
29,4,4,6,12,1
29,5,4,2,7,2
29,7,6,4,3,2
29,6,6,7,3,2
29,8,7,5,5,4
29,7,2,6,9,1
29,4,4,5,8,3
29,8,2,3,4,3
29,7,4,6,3,2
29,6,6,6,0,0
30,5,1,1,7,1
30,4,2,6,16,2
30,9,5,8,3,4
30,7,5,7,2,4
30,7,6,5,3,1
30,8,4,8,4,3
30,9,8,8,3,4
30,3,9,2,9,4
30,7,6,6,2,3
30,9,8,7,3,4
30,6,5,5,1,1
30,8,7,6,3,3
30,7,6,5,3,2
30,6,5,5,8,2
30,6,5,6,0,0
31,5,1,1,9,1
31,3,2,3,12,2
31,3,2,3,9,2
31,7,4,7,5,2
31,4,1,7,9,1
31,6,4,5,3,1
31,3,6,2,9,3
31,4,2,1,14,4
31,7,7,7,3,3
31,3,5,5,9,3
31,5,3,5,12,1
31,3,4,3,9,2
31,3,6,3,10,2
31,3,4,3,9,2
31,4,5,4,0,0
32,5,3,1,7,4
32,1,8,3,11,3
32,8,7,3,6,3
32,3,1,1,9,4
32,1,1,1,9,4
32,3,1,4,3,2
32,7,2,5,8,1
32,3,5,2,6,3
32,7,7,7,11,2
32,8,7,5,7,4
32,3,1,1,9,3
32,2,3,1,9,3
32,7,6,5,7,3
32,4,4,4,9,2
32,5,4,6,0,0
33,5,1,1,7,1
33,3,6,4,15,3
33,3,2,3,11,2
33,3,3,4,9,3
33,3,4,5,9,4
33,4,7,1,13,3
33,3,6,5,14,4
33,6,4,4,13,1
33,2,7,3,14,3
33,1,4,3,9,4
33,4,6,5,16,1
33,2,7,2,9,4
33,4,1,1,14,2
33,4,4,3,9,2
33,3,5,4,0,0
34,5,1,1,9,1
34,4,5,5,9,2
34,5,1,7,9,1
34,2,8,5,9,3
34,6,5,4,7,4
34,5,1,5,7,1
34,4,3,1,9,3
34,8,7,5,1,3
34,3,7,7,2,3
34,5,4,5,9,1
34,3,6,4,9,3
34,7,3,1,6,3
34,3,4,3,9,3
34,4,6,6,9,1
34,1,3,5,0,0
35,1,1,1,14,4
35,6,3,5,3,1
35,7,7,5,3,4
35,6,3,3,7,2
35,3,1,4,9,1
35,5,1,1,9,1
35,5,1,5,14,1
35,8,7,3,5,3
35,4,3,7,5,2
35,6,3,6,6,1
35,5,5,5,3,1
35,5,3,1,6,4
35,5,2,5,3,1
35,5,3,6,4,1
35,5,5,4,0,0
36,5,1,1,7,1
36,7,7,6,2,3
36,6,6,8,3,3
36,6,5,5,7,1
36,7,7,6,6,3
36,5,2,4,3,1
36,6,5,7,7,2
36,4,5,5,7,3
36,5,6,6,1,2
36,5,3,5,4,2
36,3,6,5,14,3
36,5,5,5,2,2
36,3,6,4,15,1
36,6,6,6,8,2
36,4,6,4,0,0
37,5,1,1,7,2
37,7,3,6,3,3
37,7,2,8,9,1
37,5,1,4,9,1
37,3,1,4,9,2
37,5,1,5,15,1
37,6,1,6,7,1
37,5,1,1,15,1
37,6,7,7,9,1
37,6,4,6,3,3
37,4,2,5,9,1
37,5,3,1,9,1
37,5,4,4,9,1
37,4,2,6,7,1
37,4,3,3,0,0
38,1,1,1,14,4
38,6,5,4,8,3
38,6,3,7,9,2
38,5,1,9,15,2
38,3,3,5,9,2
38,4,1,6,9,1
38,3,6,7,9,3
38,7,7,7,3,3
38,1,6,7,1,3
38,5,2,5,6,1
38,6,6,6,3,2
38,4,6,4,9,1
38,3,5,6,15,3
38,5,4,4,0,0
39,9,5,1,7,4
39,3,2,4,9,2
39,6,3,9,9,2
39,5,1,4,9,2
39,4,3,6,9,2
39,4,2,5,9,1
39,5,1,6,7,1
39,5,1,1,11,2
39,8,8,3,3,3
39,5,3,5,6,1
39,3,2,3,6,1
39,6,2,5,6,1
39,5,4,6,9,1
39,4,4,5,0,0
40,6,5,5,6,1
40,5,2,5,6,3
40,5,1,5,6,1
40,3,3,2,14,1
40,4,2,5,6,1
40,3,1,1,9,3
40,7,1,2,6,3
40,9,9,4,2,4
40,3,1,5,9,1
40,2,3,2,10,3
40,9,9,1,6,4
40,5,6,2,10,2
40,3,2,4,9,1
40,4,3,5,0,0
41,2,6,5,9,2
41,4,3,6,9,3
41,2,3,3,9,3
41,3,2,2,16,3
41,3,1,3,9,1
41,2,7,4,9,4
41,3,2,5,9,3
41,3,2,9,14,3
41,3,2,3,9,2
41,6,4,3,9,3
41,5,3,9,11,1
41,5,1,3,16,3
41,5,1,5,9,1
41,3,4,3,9,3
41,1,3,7,0,0
42,5,1,1,9,1
42,3,2,1,12,3
42,5,1,7,9,1
42,4,3,3,5,3
42,3,1,6,9,1
42,8,6,2,11,2
42,8,7,7,3,3
42,4,2,3,6,1
42,6,1,2,9,2
42,6,7,6,9,3
42,5,1,5,16,3
42,6,5,5,7,2
42,3,3,3,9,2
42,5,2,5,15,1
42,3,2,5,0,0
43,9,7,3,9,4
43,3,2,3,9,3
43,5,5,7,4,3
43,6,4,4,5,3
43,6,7,3,7,4
43,4,7,3,5,3
43,7,4,7,6,3
43,4,2,3,0,0
43,3,7,6,9,3
43,2,6,1,9,4
43,4,7,3,10,2
43,7,5,3,9,3
43,4,3,5,9,1
43,5,3,6,0,0
43,1,3,1,9,4
44,6,5,1,9,4
44,2,4,3,9,3
44,4,3,3,11,3
44,6,4,7,6,3
44,3,4,6,9,3
44,3,2,2,9,3
44,6,1,3,9,1
44,4,4,7,9,1
44,2,2,5,13,1
44,7,3,7,13,3
44,6,5,5,8,1
44,3,5,4,5,3
44,4,4,6,15,2
44,2,3,5,0,0
44,5,5,5,14,1
45,5,1,1,7,4
45,7,4,6,6,3
45,1,2,1,12,3
45,3,2,4,14,2
45,4,4,4,9,1
45,4,4,2,9,2
45,3,4,2,7,3
45,8,6,7,4,3
45,4,1,4,6,1
45,4,2,2,12,1
45,3,5,3,9,3
45,7,4,5,5,3
45,4,3,4,9,2
45,3,2,4,0,0
45,3,1,1,11,2
46,5,1,3,10,2
46,7,3,8,2,1
46,6,6,9,7,2
46,5,1,1,6,2
46,5,3,6,8,3
46,7,6,8,6,4
46,5,7,4,10,1
46,5,6,5,7,2
46,6,2,5,15,2
46,5,6,4,10,1
46,4,5,5,9,1
46,8,5,6,6,3
46,2,2,1,8,1
46,5,7,7,3,3
46,2,5,4,0,0
47,5,1,1,7,1
47,8,6,8,4,3
47,3,3,7,9,2
47,5,2,7,3,1
47,8,8,8,2,3
47,4,7,4,11,1
47,4,6,5,16,2
47,7,3,8,1,3
47,3,3,2,9,2
47,6,6,5,2,2
47,1,1,1,11,4
47,1,1,1,16,4
47,4,6,5,15,2
47,3,6,4,0,0
47,7,7,7,3,3
48,5,1,1,14,1
48,7,9,9,3,4
48,9,7,9,2,4
48,5,3,5,15,1
48,5,7,5,5,2
48,6,7,6,7,2
48,3,3,1,15,4
48,5,7,5,16,2
48,6,7,5,7,2
48,6,3,7,7,2
48,3,7,6,15,1
48,4,4,3,8,2
48,5,6,6,16,1
48,3,6,5,0,0
48,1,1,5,7,1
49,9,9,9,16,4
49,1,1,1,14,4
49,3,6,3,16,4
49,8,8,7,4,3
49,4,6,2,16,3
49,4,4,6,16,3
49,5,8,5,4,2
49,4,9,3,16,2
49,5,4,5,7,1
49,5,6,5,16,2
49,7,4,9,4,3
49,2,4,3,8,3
49,3,6,6,8,2
49,3,7,8,0,0
49,6,8,6,7,3
50,5,6,7,15,3
50,5,1,1,7,1
50,7,4,6,5,3
50,6,4,6,3,3
50,3,5,4,15,1
50,7,6,7,4,2
50,7,7,7,2,3
50,5,4,5,4,1
50,5,5,5,16,4
50,5,4,5,4,1
50,5,6,6,0,0
50,5,2,4,3,2
50,5,6,5,7,3
50,5,2,7,7,1
50,6,3,5,4,2
51,5,4,6,12,2
51,1,1,1,14,4
51,7,7,6,7,3
51,3,5,7,14,3
51,3,3,5,15,3
51,2,7,6,7,3
51,5,7,5,7,3
51,5,8,6,1,1
51,5,9,3,10,2
51,3,5,5,9,2
51,4,5,5,9,2
51,2,7,6,0,0
51,4,3,2,10,3
51,3,5,4,10,2
51,3,6,2,10,3
52,7,5,6,7,3
52,5,4,7,16,2
52,1,1,1,14,4
52,4,9,5,16,4
52,4,4,7,15,3
52,8,6,9,3,4
52,2,3,3,14,3
52,5,3,4,14,3
52,5,7,5,16,2
52,5,4,9,14,1
52,4,4,5,14,1
52,5,2,7,15,2
52,5,5,5,7,1
52,4,6,4,0,0
52,5,6,9,5,4
53,7,7,8,16,4
53,5,2,6,15,2
53,5,2,2,7,3
53,3,6,3,10,3
53,8,7,6,4,3
53,4,8,5,16,3
53,2,9,3,7,4
53,5,5,4,14,3
53,4,8,4,15,2
53,4,7,5,2,1
53,6,7,6,8,3
53,3,7,7,16,3
53,5,7,4,8,2
53,5,7,6,16,2
53,4,7,5,0,0
54,6,6,3,6,3
54,4,6,9,16,3
54,5,1,1,7,1
54,7,9,5,2,3
54,5,9,9,12,3
54,7,6,6,4,2
54,6,6,6,1,2
54,5,6,3,1,2
54,5,5,5,16,3
54,6,8,7,1,3
54,5,5,5,14,1
54,6,6,5,7,3
54,5,6,5,15,1
54,6,5,6,4,1
54,3,4,5,0,0
55,7,6,5,15,3
55,5,4,7,16,2
55,9,9,3,3,4
55,3,3,3,14,4
55,3,3,5,10,2
55,5,9,7,15,4
55,4,6,4,10,1
55,4,2,5,9,3
55,5,3,5,7,3
55,5,6,4,14,1
55,3,7,3,10,3
55,4,8,2,16,3
55,5,5,6,8,2
55,4,8,7,0,0
55,6,3,5,4,2
56,1,6,7,14,4
56,2,3,6,15,4
56,2,9,8,16,4
56,3,9,3,16,4
56,5,3,7,15,1
56,3,7,7,15,3
56,2,5,5,16,2
56,6,5,7,7,3
56,6,7,5,7,3
56,8,8,8,1,4
56,2,9,3,16,3
56,7,5,3,14,3
56,3,4,2,14,4
56,5,4,6,15,2
56,4,8,6,0,0
57,5,3,8,16,2
57,3,1,1,14,1
57,3,7,7,9,4
57,5,5,7,16,3
57,2,9,9,16,4
57,6,4,7,7,3
57,3,7,4,16,3
57,8,8,8,1,4
57,4,7,5,16,2
57,4,5,7,14,1
57,4,5,5,16,1
57,5,7,4,10,1
57,1,1,1,14,4
57,5,6,7,7,1
57,3,7,5,0,0
58,5,1,3,14,1
58,9,5,5,7,4
58,5,5,5,14,4
58,2,4,7,16,3
58,5,4,6,14,1
58,7,6,8,4,3
58,4,6,5,15,2
58,6,7,5,16,1
58,5,1,5,7,1
58,4,1,5,16,1
58,3,5,5,15,2
58,3,6,5,15,1
58,5,6,3,10,2
58,1,1,1,11,4
58,6,5,6,7,2
58,4,6,5,0,0
59,8,7,7,4,3
59,2,2,1,9,3
59,1,1,1,14,4
59,9,7,8,3,4
59,2,7,6,16,4
59,2,9,3,15,1
59,1,9,9,16,4
59,7,9,7,2,4
59,3,6,7,7,2
59,8,4,8,4,3
59,2,7,5,16,1
59,5,5,4,9,1
59,3,2,3,9,3
59,4,7,7,7,3
59,3,7,7,0,0
59,5,3,5,16,1
60,5,3,5,7,4
60,5,3,5,11,3
60,4,4,3,16,2
60,3,6,4,9,1
60,6,8,6,16,3
60,5,2,5,15,2
60,3,7,6,16,4
60,5,6,5,10,1
60,6,8,8,4,3
60,9,9,7,1,3
60,5,5,5,7,1
60,1,1,1,0,0
60,4,5,4,9,1
60,5,6,7,0,0
61,2,6,5,15,3
61,8,3,3,3,3
61,1,1,1,14,4
61,7,5,6,3,2
61,7,3,3,3,4
61,7,3,7,5,2
61,7,6,5,3,1
61,9,9,9,3,4
61,9,7,6,3,4
61,7,5,5,3,2
61,6,5,5,3,2
61,9,9,9,3,4
61,7,6,6,2,3
61,4,6,5,0,0
61,6,6,6,4,1
62,8,8,4,5,3
62,5,5,8,16,2
62,5,1,5,0,0
62,9,5,3,3,4
62,7,5,5,7,2
62,7,5,5,4,3
62,8,6,9,3,4
62,9,9,9,2,4
62,9,9,8,3,4
62,9,7,9,3,4
62,8,7,5,2,3
62,5,7,5,3,3
62,7,6,7,4,2
62,5,5,4,0,0
62,4,4,5,4,1
63,7,7,6,3,3
63,6,6,6,16,2
63,9,9,5,4,2
63,9,9,9,4,3
63,7,7,7,3,3
63,8,7,7,1,3
63,9,8,9,2,4
63,9,9,9,4,4
63,7,7,7,4,3
63,9,9,9,3,4
63,7,7,5,3,2
63,3,3,2,9,1
63,7,9,7,4,3
63,4,6,3,0,0
63,7,7,7,3,4
64,6,3,5,4,2
64,5,1,5,3,1
64,9,5,1,6,3
64,7,5,4,5,2
64,7,7,5,3,3
64,9,5,7,7,4
64,7,6,4,9,1
64,7,2,6,3,3
64,9,7,3,2,3
64,5,6,3,8,3
64,7,7,7,3,3
64,7,7,7,2,2
64,5,4,5,0,0
64,5,5,5,9,1
64,5,5,5,4,1
65,5,1,2,7,1
65,5,1,1,7,1
65,6,5,5,5,1
65,6,6,5,7,1
65,7,2,6,5,2
65,9,8,8,3,4
65,7,5,3,6,3
65,7,7,5,8,4
65,7,7,7,3,3
65,5,5,5,13,3
65,6,5,6,8,2
65,3,6,5,0,0
65,7,3,5,3,1
65,5,5,5,3,1
65,8,7,6,5,3
66,5,3,4,16,3
66,9,9,5,8,4
66,7,7,8,3,2
66,1,6,4,14,4
66,3,3,4,10,2
66,9,8,8,4,4
66,6,6,5,7,1
66,2,3,9,14,3
66,3,4,2,14,3
66,7,8,7,2,3
66,5,7,5,0,0
66,3,3,2,16,2
66,6,7,6,16,1
66,2,6,4,16,2
66,5,9,8,16,3
67,2,2,1,9,3
67,9,9,5,3,4
67,7,7,8,5,3
67,9,6,3,3,4
67,8,7,9,2,4
67,7,4,6,8,3
67,8,7,7,1,3
67,9,7,6,8,4
67,7,3,7,7,3
67,8,7,5,3,3
67,5,5,5,1,4
67,6,6,6,4,2
67,5,5,6,0,0
67,5,6,6,5,3
67,9,7,8,2,4
67,5,3,5,4,1
68,5,2,3,15,1
68,9,5,5,6,3
68,9,9,9,3,4
68,2,6,4,16,3
68,5,2,5,7,1
68,9,7,9,2,4
68,7,8,7,2,4
68,9,6,5,1,3
68,9,9,8,2,3
68,6,7,8,2,3
68,9,8,9,2,4
68,7,4,3,13,2
68,6,7,6,4,3
68,3,6,4,0,0
68,5,6,7,14,2
68,5,3,5,4,1
69,1,1,1,14,4
69,9,8,9,1,4
69,9,4,5,1,4
69,9,9,3,8,4
69,9,6,9,3,4
69,6,5,6,1,1
69,9,7,9,2,4
69,5,6,7,9,2
69,7,8,2,3,4
69,7,6,5,1,4
69,3,3,5,6,2
69,5,3,6,13,1
69,6,5,7,0,0
69,7,6,8,1,4
69,7,7,7,4,4
70,7,5,3,3,4
70,7,7,7,2,1
70,4,6,5,14,3
70,6,3,5,14,1
70,9,6,9,3,4
70,4,6,3,14,3
70,5,8,5,15,2
70,7,9,9,16,4
70,6,7,7,7,2
70,9,9,7,3,4
70,7,6,5,3,1
70,6,6,6,3,2
70,5,6,6,0,0
70,5,4,2,16,3
70,5,5,5,3,1
71,7,2,2,6,2
71,1,1,1,14,4
71,8,8,9,2,3
71,5,3,6,3,1
71,8,4,8,2,4
71,9,8,6,4,2
71,8,7,8,1,2
71,9,8,7,2,4
71,7,7,6,4,1
71,1,9,3,0,0
71,7,8,8,1,3
71,5,6,6,0,0
71,7,7,5,3,2
71,5,8,9,1,4
71,9,8,8,3,4
72,5,8,7,7,3
72,5,1,1,16,1
72,9,3,1,7,4
72,9,6,5,2,3
72,9,7,9,3,4
72,9,7,7,4,4
72,7,6,4,4,2
72,6,9,7,2,2
72,7,8,7,4,4
72,7,7,5,7,3
72,7,8,6,3,2
72,5,8,8,0,0
72,2,8,8,4,4
72,7,5,8,1,4
72,6,6,6,3,2
73,7,3,5,3,3
73,1,1,1,14,4
73,7,4,7,5,2
73,7,7,8,3,4
73,8,7,9,7,3
73,5,3,3,11,1
73,9,9,9,2,4
73,8,6,7,2,3
73,5,3,5,15,1
73,6,7,7,4,3
73,5,6,5,0,0
73,5,6,6,1,3
73,7,6,7,2,3
73,6,5,5,3,2
73,7,6,6,4,3
74,3,6,6,2,3
74,6,3,3,8,2
74,9,5,2,7,4
74,6,5,5,2,1
74,9,7,9,3,4
74,4,5,5,12,2
74,7,8,7,1,3
74,6,3,3,3,2
74,8,7,7,4,4
74,7,8,6,7,4
74,7,8,5,3,3
74,6,7,6,8,3
74,5,7,7,0,0
74,5,7,6,5,3
74,3,3,4,16,1
75,6,1,3,8,1
75,1,1,1,14,3
75,6,4,7,2,1
75,6,2,6,7,1
75,6,3,6,8,1
75,2,6,5,15,3
75,7,5,3,3,2
75,8,7,5,2,4
75,8,6,6,3,3
75,8,6,5,3,2
75,8,7,7,3,3
75,6,4,4,0,0
75,8,8,4,3,4
75,8,5,6,3,3
75,9,8,7,3,4
76,5,1,2,7,1
76,7,5,1,9,4
76,7,3,7,4,3
76,7,3,5,6,3
76,6,2,5,7,2
76,8,2,9,4,4
76,4,3,3,9,2
76,5,4,8,9,1
76,7,3,5,6,2
76,9,7,7,4,4
76,5,4,4,0,0
76,3,2,4,12,2
76,5,3,3,6,3
76,5,1,5,4,1
76,8,2,4,5,4
77,7,2,3,3,2
77,9,7,3,3,4
77,6,4,4,9,1
77,3,3,5,9,2
77,5,2,4,8,1
77,5,1,5,3,1
77,7,6,3,3,3
77,7,6,8,3,2
77,6,5,7,4,1
77,1,1,1,16,4
77,7,6,6,4,2
77,6,6,4,0,0
77,7,6,5,12,2
77,6,5,5,4,2
77,8,6,5,3,3
77,8,7,6,3,3
78,5,1,1,7,2
78,6,5,6,6,2
78,5,6,4,7,2
78,3,3,3,9,2
78,7,4,9,2,4
78,9,9,9,2,4
78,5,5,3,16,2
78,5,6,6,2,1
78,4,5,1,12,3
78,4,4,4,7,1
78,6,7,8,7,3
78,7,8,7,4,3
78,3,8,7,0,0
78,3,3,3,14,3
78,5,6,5,4,3
79,5,1,1,6,2
79,5,1,3,6,1
79,7,4,6,5,2
79,9,7,9,4,4
79,6,2,5,4,2
79,7,5,5,7,2
79,7,6,6,1,2
79,9,9,9,3,4
